,Unnamed: 0,id,blocktime,forvotes,againstvotes,vote_rate,total_cap,circulating
0,0,1,2021-08-13 11:57:54,4127113.937421328,0.29945690265651576,4127114.236878231,100000000,14198201
1,11,2,2021-08-18 08:38:01,3685715.592927884,0.0,3685715.592927884,100000000,14198201
2,22,3,2021-08-19 16:08:01,3679598.1319430806,0.0,3679598.1319430806,100000000,14198201
3,24,4,2021-08-26 07:49:32,4389973.9583536815,0.0,4389973.9583536815,100000000,14198201
4,25,5,2021-08-26 15:15:12,6965109.358239652,0.0,6965109.358239652,100000000,14198201
5,26,6,2021-09-28 15:35:16,4138868.332662617,0.0,4138868.332662617,100000000,14198201
6,27,7,2021-10-22 12:49:19,1226146.361286172,0.0,1226146.361286172,100000000,14198201
7,28,8,2021-10-27 15:57:35,5526114.27054627,0.02,5526114.290546269,100000000,14198201
8,29,9,2021-11-03 13:38:12,320.9666,27.0,347.9666,100000000,14198201
9,1,10,2021-11-19 15:36:02,0.0,2.0,2.0,100000000,14198201
10,2,11,2021-11-30 12:13:30,0.0,27.0,27.0,100000000,14198201
11,3,12,2021-12-16 09:28:40,5333314.162932728,0.0,5333314.162932728,100000000,14198201
12,4,13,2022-01-12 10:25:20,5440197.377168377,0.0,5440197.377168377,100000000,14198201
13,5,14,2022-01-14 09:59:50,8135017.804287218,0.0,8135017.804287218,100000000,14198201
14,6,15,2022-01-25 05:25:20,5630169.126030763,0.0,5630169.126030763,100000000,14198201
15,7,16,2022-02-02 15:48:03,5289556.690445314,0.0,5289556.690445314,100000000,14198201
16,8,17,2022-02-22 10:32:17,6320086.843506345,1274218.7638671456,7594305.60737349,100000000,14198201
17,9,18,2022-02-22 14:46:53,2.0,0.0,2.0,100000000,14198201
18,10,19,2022-02-23 16:31:03,7569253.220562778,172198.27017266836,7741451.490735448,100000000,14198201
19,12,20,2022-03-03 09:19:55,7408377.845793538,335157.8117729333,7743535.65756647,100000000,14198201
20,13,21,2022-03-04 12:04:08,6475815.20317982,2601287.3327138736,9077102.535893694,100000000,14198201
21,14,22,2022-03-05 03:58:45,3127407.3901892705,0.0,3127407.3901892705,100000000,14198201
22,15,23,2022-03-06 07:18:34,5036994.248000294,0.0,5036994.248000294,100000000,14198201
23,16,24,2022-05-17 10:06:18,3606372.1979894936,0.0,3606372.1979894936,100000000,14198201
24,17,25,2022-05-18 03:05:49,6767974.7745305635,0.0,6767974.7745305635,100000000,14198201
25,18,26,2022-05-18 07:36:36,6767713.165561676,0.0,6767713.165561676,100000000,14198201
26,19,27,2022-05-18 13:38:22,3805341.299350596,0.0,3805341.299350596,100000000,14198201
27,20,28,2022-05-19 11:06:00,3643435.9011223526,0.0,3643435.9011223526,100000000,14198201
28,21,29,2022-06-09 09:33:25,3667487.6282001864,0.0,3667487.6282001864,100000000,14198201
29,23,30,2022-07-14 20:40:25,4608799.2119245,0.0,4608799.2119245,100000000,14198201
